Seed,Ratio Test,K,Accuracy
44,0.2,3,0.59375
44,0.2,5,0.6875
44,0.2,7,0.65625
44,0.3,3,0.6666666666666666
44,0.3,5,0.7291666666666666
44,0.3,7,0.7083333333333334
45,0.1,3,0.75
45,0.1,5,0.8125
45,0.1,7,0.8125
45,0.2,3,0.8125
45,0.2,5,0.75
45,0.2,7,0.71875
45,0.3,3,0.7291666666666666
45,0.3,5,0.7083333333333334
45,0.3,7,0.6458333333333334
46,0.1,3,0.75
46,0.1,5,0.6875
46,0.1,7,0.6875
46,0.2,3,0.75
46,0.2,5,0.6875
46,0.2,7,0.6875
46,0.3,3,0.6875
46,0.3,5,0.625
46,0.3,7,0.6666666666666666
47,0.1,3,0.75
47,0.1,5,0.6875
47,0.1,7,0.6875
47,0.2,3,0.78125
47,0.2,5,0.6875
47,0.2,7,0.6875
47,0.3,3,0.5833333333333334
47,0.3,5,0.5625
47,0.3,7,0.7083333333333334
48,0.1,3,0.5
48,0.1,5,0.4375
48,0.1,7,0.5625
48,0.2,3,0.59375
48,0.2,5,0.4375
48,0.2,7,0.5
48,0.3,3,0.5
48,0.3,5,0.4791666666666667
48,0.3,7,0.5
49,0.1,3,0.625
49,0.1,5,0.6875
49,0.1,7,0.625
49,0.2,3,0.6875
49,0.2,5,0.6875
49,0.2,7,0.71875
49,0.3,3,0.6458333333333334
49,0.3,5,0.7291666666666666
49,0.3,7,0.7291666666666666
50,0.1,3,0.8125
50,0.1,5,0.75
50,0.1,7,0.75
50,0.2,3,0.75
50,0.2,5,0.65625
50,0.2,7,0.65625
50,0.3,3,0.75
50,0.3,5,0.6875
50,0.3,7,0.6458333333333334
51,0.1,3,0.5625
51,0.1,5,0.6875
51,0.1,7,0.75
51,0.2,3,0.625
51,0.2,5,0.71875
51,0.2,7,0.6875
51,0.3,3,0.6666666666666666
51,0.3,5,0.6875
51,0.3,7,0.7291666666666666
52,0.1,3,0.5625
52,0.1,5,0.625
52,0.1,7,0.5625
52,0.2,3,0.75
52,0.2,5,0.75
52,0.2,7,0.71875
52,0.3,3,0.7916666666666666
52,0.3,5,0.7916666666666666
52,0.3,7,0.75
53,0.1,3,0.875
53,0.1,5,0.875
53,0.1,7,0.8125
53,0.2,3,0.9375
53,0.2,5,0.90625
53,0.2,7,0.84375
53,0.3,3,0.8958333333333334
53,0.3,5,0.875
53,0.3,7,0.8125
54,0.1,3,0.75
54,0.1,5,0.8125
54,0.1,7,0.625
54,0.2,3,0.78125
54,0.2,5,0.8125
54,0.2,7,0.6875
54,0.3,3,0.6875
54,0.3,5,0.625
54,0.3,7,0.6458333333333334
55,0.1,3,0.6875
55,0.1,5,0.75
55,0.1,7,0.8125
55,0.2,3,0.71875
55,0.2,5,0.75
55,0.2,7,0.6875
55,0.3,3,0.6875
55,0.3,5,0.7083333333333334
55,0.3,7,0.6458333333333334
56,0.1,3,0.9375
56,0.1,5,0.875
56,0.1,7,0.8125
56,0.2,3,0.65625
56,0.2,5,0.625
56,0.2,7,0.78125
56,0.3,3,0.6666666666666666
56,0.3,5,0.6666666666666666
56,0.3,7,0.6666666666666666
57,0.1,3,0.5625
57,0.1,5,0.6875
57,0.1,7,0.6875
57,0.2,3,0.6875
57,0.2,5,0.71875
57,0.2,7,0.6875
57,0.3,3,0.7083333333333334
57,0.3,5,0.5833333333333334
57,0.3,7,0.625
58,0.1,3,0.875
58,0.1,5,0.75
58,0.1,7,0.75
58,0.2,3,0.8125
58,0.2,5,0.75
58,0.2,7,0.78125
58,0.3,3,0.8125
58,0.3,5,0.7708333333333334
58,0.3,7,0.7083333333333334
59,0.1,3,0.6875
59,0.1,5,0.75
59,0.1,7,0.75
59,0.2,3,0.65625
59,0.2,5,0.6875
59,0.2,7,0.65625
59,0.3,3,0.6041666666666666
59,0.3,5,0.6458333333333334
59,0.3,7,0.6666666666666666
60,0.1,3,0.75
60,0.1,5,0.6875
60,0.1,7,0.625
60,0.2,3,0.75
60,0.2,5,0.78125
60,0.2,7,0.6875
60,0.3,3,0.7083333333333334
60,0.3,5,0.6875
60,0.3,7,0.6458333333333334
61,0.1,3,0.75
61,0.1,5,0.875
61,0.1,7,0.8125
61,0.2,3,0.71875
61,0.2,5,0.78125
61,0.2,7,0.71875
61,0.3,3,0.7708333333333334
61,0.3,5,0.7708333333333334
61,0.3,7,0.75
62,0.1,3,0.5625
62,0.1,5,0.5625
62,0.1,7,0.5625
62,0.2,3,0.6875
62,0.2,5,0.6875
62,0.2,7,0.6875
62,0.3,3,0.7291666666666666
62,0.3,5,0.6666666666666666
